Category,Total App Price
ART_AND_DESIGN,5.97
AUTO_AND_VEHICLES,13.47
BEAUTY,0.0
BOOKS_AND_REFERENCE,119.76999999999997
BUSINESS,175.29
COMICS,0.0
COMMUNICATION,83.13999999999999
DATING,27.440000000000005
EDUCATION,17.96
ENTERTAINMENT,7.98
EVENTS,109.99
FAMILY,2399.8599999999847
FINANCE,2900.829999999998
FOOD_AND_DRINK,8.48
GAME,284.3100000000003
HEALTH_AND_FITNESS,64.35000000000001
HOUSE_AND_HOME,0.0
LIBRARIES_AND_DEMO,0.99
LIFESTYLE,2360.87
MAPS_AND_NAVIGATION,26.950000000000003
MEDICAL,995.7000000000006
NEWS_AND_MAGAZINES,3.9800000000000004
PARENTING,9.58
PERSONALIZATION,150.47999999999996
PHOTOGRAPHY,118.27999999999997
PRODUCTIVITY,250.93000000000012
SHOPPING,5.48
SOCIAL,15.97
SPORTS,99.99999999999996
TOOLS,267.2500000000002
TRAVEL_AND_LOCAL,49.95000000000002
VIDEO_PLAYERS,10.46
WEATHER,32.42000000000001
