"Category","total_price_per_app"
FINANCE,2900.829999999998
FAMILY,2399.8599999999847
LIFESTYLE,2360.87
MEDICAL,995.7000000000006
GAME,284.3100000000003
TOOLS,267.2500000000002
PRODUCTIVITY,250.93000000000012
BUSINESS,175.29
PERSONALIZATION,150.47999999999996
BOOKS_AND_REFERENCE,119.76999999999997
PHOTOGRAPHY,118.27999999999997
EVENTS,109.99
SPORTS,99.99999999999996
COMMUNICATION,83.13999999999999
HEALTH_AND_FITNESS,64.35000000000001
TRAVEL_AND_LOCAL,49.95000000000002
WEATHER,32.42000000000001
DATING,27.440000000000005
MAPS_AND_NAVIGATION,26.950000000000003
EDUCATION,17.96
SOCIAL,15.97
AUTO_AND_VEHICLES,13.47
VIDEO_PLAYERS,10.46
PARENTING,9.58
FOOD_AND_DRINK,8.48
ENTERTAINMENT,7.98
ART_AND_DESIGN,5.97
SHOPPING,5.48
NEWS_AND_MAGAZINES,3.9800000000000004
LIBRARIES_AND_DEMO,0.99
HOUSE_AND_HOME,0.0
COMICS,0.0
BEAUTY,0.0
